plant_sp,Estimated_number_of_individuals,species_cover (cm)
Allium subvillosum,1,1.0
Arisarum vulgare,2,40.0
Asparagus horridus,32,1260.0
Chenopodium murale,1,1.0
Diplotaxis ibicensis,1,1.0
Ephedra fragilis,25,1260.0
Erodium chium,1,1.0
Euphorbia dendroides,64,6320.0
Fagonia cretica,1,40.0
Geranium molle,5,40.0
Geranium rotundifolium,1,1.0
Heliotropium europaeum,1,1.0
Lavatera maritima,2,230.0
Limonium sp,1,1.0
Medicago arborea,1,220.0
Narcissus tazetta,16,247.0
Olea europaea var. sylvestris,64,15138.7
Suaeda vera,257,21636.5
Withania frutescens,88,10863.0
