Size largest comp (norm) (des),Edges counter (norm),Size largest comp (norm) (asc)
1.0,0.0,1.0
1.0,0.007352941176470588,1.0
1.0,0.014705882352941176,1.0
1.0,0.022058823529411766,1.0
1.0,0.029411764705882353,1.0
1.0,0.03676470588235294,1.0
1.0,0.04411764705882353,1.0
1.0,0.051470588235294115,1.0
1.0,0.058823529411764705,1.0
1.0,0.0661764705882353,1.0
1.0,0.07352941176470588,1.0
1.0,0.08088235294117647,1.0
1.0,0.08823529411764706,1.0
1.0,0.09558823529411764,1.0
1.0,0.10294117647058823,1.0
1.0,0.11029411764705882,1.0
1.0,0.11764705882352941,1.0
1.0,0.125,1.0
1.0,0.1323529411764706,1.0
1.0,0.13970588235294118,1.0
1.0,0.14705882352941177,1.0
1.0,0.15441176470588236,1.0
1.0,0.16176470588235295,1.0
1.0,0.16911764705882354,1.0
1.0,0.17647058823529413,1.0
1.0,0.18382352941176472,1.0
1.0,0.19117647058823528,1.0
1.0,0.19852941176470587,1.0
1.0,0.20588235294117646,1.0
1.0,0.21323529411764705,1.0
1.0,0.22058823529411764,1.0
1.0,0.22794117647058823,1.0
1.0,0.23529411764705882,1.0
1.0,0.2426470588235294,1.0
1.0,0.25,1.0
1.0,0.25735294117647056,1.0
1.0,0.2647058823529412,1.0
1.0,0.27205882352941174,1.0
1.0,0.27941176470588236,1.0
1.0,0.2867647058823529,1.0
1.0,0.29411764705882354,1.0
1.0,0.3014705882352941,1.0
1.0,0.3088235294117647,1.0
1.0,0.3161764705882353,1.0
1.0,0.3235294117647059,1.0
1.0,0.33088235294117646,1.0
1.0,0.3382352941176471,1.0
1.0,0.34558823529411764,1.0
1.0,0.35294117647058826,1.0
1.0,0.3602941176470588,1.0
1.0,0.36764705882352944,1.0
1.0,0.375,1.0
1.0,0.38235294117647056,0.9375
1.0,0.3897058823529412,0.9375
1.0,0.39705882352941174,0.9375
1.0,0.40441176470588236,0.9375
1.0,0.4117647058823529,0.9375
1.0,0.41911764705882354,0.9375
1.0,0.4264705882352941,0.9375
1.0,0.4338235294117647,0.9375
1.0,0.4411764705882353,0.9375
1.0,0.4485294117647059,0.9375
1.0,0.45588235294117646,0.9375
1.0,0.4632352941176471,0.9375
1.0,0.47058823529411764,0.9375
1.0,0.47794117647058826,0.875
1.0,0.4852941176470588,0.875
1.0,0.49264705882352944,0.875
1.0,0.5,0.875
1.0,0.5073529411764706,0.8125
1.0,0.5147058823529411,0.8125
1.0,0.5220588235294118,0.8125
1.0,0.5294117647058824,0.8125
1.0,0.5367647058823529,0.8125
1.0,0.5441176470588235,0.8125
1.0,0.5514705882352942,0.8125
1.0,0.5588235294117647,0.8125
1.0,0.5661764705882353,0.8125
1.0,0.5735294117647058,0.8125
1.0,0.5808823529411765,0.8125
1.0,0.5882352941176471,0.8125
1.0,0.5955882352941176,0.8125
1.0,0.6029411764705882,0.8125
1.0,0.6102941176470589,0.8125
1.0,0.6176470588235294,0.75
1.0,0.625,0.75
1.0,0.6323529411764706,0.75
1.0,0.6397058823529411,0.75
1.0,0.6470588235294118,0.75
1.0,0.6544117647058824,0.75
1.0,0.6617647058823529,0.75
1.0,0.6691176470588235,0.6875
1.0,0.6764705882352942,0.6875
1.0,0.6838235294117647,0.6875
1.0,0.6911764705882353,0.6875
1.0,0.6985294117647058,0.6875
1.0,0.7058823529411765,0.6875
1.0,0.7132352941176471,0.6875
1.0,0.7205882352941176,0.6875
1.0,0.7279411764705882,0.6875
0.9375,0.7352941176470589,0.6875
0.9375,0.7426470588235294,0.625
0.9375,0.75,0.625
0.9375,0.7573529411764706,0.625
0.9375,0.7647058823529411,0.625
0.9375,0.7720588235294118,0.625
0.9375,0.7794117647058824,0.5625
0.9375,0.7867647058823529,0.5625
0.9375,0.7941176470588235,0.5625
0.9375,0.8014705882352942,0.5625
0.9375,0.8088235294117647,0.5
0.9375,0.8161764705882353,0.5
0.9375,0.8235294117647058,0.4375
0.9375,0.8308823529411765,0.4375
0.9375,0.8382352941176471,0.4375
0.875,0.8455882352941176,0.4375
0.875,0.8529411764705882,0.4375
0.875,0.8602941176470589,0.375
0.875,0.8676470588235294,0.375
0.875,0.875,0.375
0.875,0.8823529411764706,0.375
0.8125,0.8897058823529411,0.3125
0.75,0.8970588235294118,0.3125
0.6875,0.9044117647058824,0.3125
0.6875,0.9117647058823529,0.3125
0.625,0.9191176470588235,0.3125
0.625,0.9264705882352942,0.3125
0.5625,0.9338235294117647,0.3125
0.5,0.9411764705882353,0.25
0.5,0.9485294117647058,0.25
0.4375,0.9558823529411765,0.25
0.25,0.9632352941176471,0.1875
0.25,0.9705882352941176,0.1875
0.1875,0.9779411764705882,0.125
0.125,0.9852941176470589,0.0625
0.125,0.9926470588235294,0.0625
0.0625,1.0,0.0625
