plant_sp,decomposition,fungal pathogenicity,herbivory,nutrient uptake,pollination,seed dispersal
Arisarum vulgare,1.0,1.0,0.0,1.0,0.0,0.0
Asparagus horridus,1.0,1.0,0.0,1.0,0.0,0.0
Chenopodium murale,1.0,1.0,0.0,1.0,1.0,0.0
Diplotaxis ibicensis,1.0,1.0,1.0,1.0,1.0,0.0
Ephedra fragilis,1.0,1.0,1.0,1.0,1.0,0.0
Euphorbia dendroides,1.0,1.0,1.0,1.0,1.0,1.0
Fagonia cretica,1.0,1.0,0.0,1.0,1.0,1.0
Geranium molle,1.0,1.0,0.0,1.0,1.0,1.0
Heliotropium europaeum,1.0,1.0,0.0,1.0,1.0,0.0
Lavatera maritima,1.0,1.0,1.0,1.0,1.0,1.0
Limonium sp,1.0,1.0,0.0,1.0,0.0,1.0
Medicago arborea,1.0,1.0,1.0,1.0,1.0,1.0
Narcissus tazetta,1.0,1.0,0.0,1.0,1.0,0.0
Olea europaea var. sylvestris,1.0,1.0,1.0,1.0,0.0,1.0
Suaeda vera,1.0,1.0,1.0,1.0,1.0,1.0
Withania frutescens,1.0,1.0,1.0,1.0,1.0,1.0
