nestedness order,nestedness weights,score order,socre weights
Withania frutescens,4.06004226974326,Withania frutescens,1.340409868836347
Lavatera maritima,3.55394497169153,Lavatera maritima,0.8502344581446739
Olea europaea,3.072130511823238,Olea europaea,0.6543154905786444
Euphorbia dendroides,3.028356086890912,Euphorbia dendroides,0.5815945297462899
Medicago arborea,2.537995586038923,Medicago arborea,0.38874171883848746
Suaeda vera,2.4980272710625235,Suaeda vera,0.403187230309355
Limonium sp,2.308081984541284,Limonium sp,0.33160302671261954
Diplotaxis ibicensis,1.9957552015413658,Diplotaxis ibicensis,0.2481290791147857
Arisarum vulgare,1.933551118210251,Arisarum vulgare,0.23973670013801357
Geranium molle,1.8293467721430023,Geranium molle,0.2670397019301919
Narcissus tazetta,1.6009835740454763,Narcissus tazetta,0.16542335180161885
Ephedra fragilis,1.5331422280286697,Ephedra fragilis,0.12261618471085915
Fagonia cretica,1.4175139002643857,Fagonia cretica,0.16425328853743384
Asparagus horridus,1.2686522497549737,Asparagus horridus,0.08031565124389432
Chenopodium murale,1.2381549137153722,Chenopodium murale,0.09665545964387628
Heliotropium europaeum,1.0657739690527666,Heliotropium europaeum,0.06574425971290926
